Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=122.ICP.M.U2.N.000000.4.ANR
,ICP.M.U2.N.000000.4.ANR
,"Euro area (changing composition) - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2023Apr,7.0,Estimated value (E),
2023Mar,6.9,Normal value (A),
2023Feb,8.5,Normal value (A),
2023Jan,8.6,Normal value (A),
2022Dec,9.2,Normal value (A),
2022Nov,10.1,Normal value (A),
2022Oct,10.6,Normal value (A),
2022Sep,9.9,Normal value (A),
2022Aug,9.1,Normal value (A),
2022Jul,8.9,Normal value (A),
2022Jun,8.6,Normal value (A),
2022May,8.1,Normal value (A),
2022Apr,7.4,Normal value (A),
2022Mar,7.4,Normal value (A),
2022Feb,5.9,Normal value (A),
2022Jan,5.1,Normal value (A),
2021Dec,5.0,Normal value (A),
2021Nov,4.9,Normal value (A),
2021Oct,4.1,Normal value (A),
2021Sep,3.4,Normal value (A),
2021Aug,3.0,Normal value (A),
2021Jul,2.2,Normal value (A),
2021Jun,1.9,Normal value (A),
2021May,2.0,Normal value (A),
2021Apr,1.6,Normal value (A),
2021Mar,1.3,Normal value (A),
2021Feb,0.9,Normal value (A),
2021Jan,0.9,Normal value (A),
2020Dec,-0.3,Normal value (A),
2020Nov,-0.3,Normal value (A),
2020Oct,-0.3,Normal value (A),
2020Sep,-0.3,Normal value (A),
2020Aug,-0.2,Normal value (A),
2020Jul,0.4,Normal value (A),
2020Jun,0.3,Normal value (A),
2020May,0.1,Normal value (A),
2020Apr,0.3,Normal value (A),
2020Mar,0.7,Normal value (A),
2020Feb,1.2,Normal value (A),
2020Jan,1.4,Normal value (A),
2019Dec,1.3,Normal value (A),
2019Nov,1.0,Normal value (A),
2019Oct,0.7,Normal value (A),
2019Sep,0.8,Normal value (A),
2019Aug,1.0,Normal value (A),
2019Jul,1.0,Normal value (A),
2019Jun,1.3,Normal value (A),
2019May,1.2,Normal value (A),
2019Apr,1.7,Normal value (A),
2019Mar,1.4,Normal value (A),
2019Feb,1.5,Normal value (A),
2019Jan,1.4,Normal value (A),
2018Dec,1.5,Normal value (A),
2018Nov,1.9,Normal value (A),
2018Oct,2.3,Normal value (A),
2018Sep,2.1,Normal value (A),
2018Aug,2.1,Normal value (A),
2018Jul,2.2,Normal value (A),
2018Jun,2.0,Normal value (A),
2018May,2.0,Normal value (A),
2018Apr,1.2,Normal value (A),
2018Mar,1.4,Normal value (A),
2018Feb,1.1,Normal value (A),
2018Jan,1.3,Normal value (A),
2017Dec,1.3,Normal value (A),
2017Nov,1.5,Normal value (A),
2017Oct,1.4,Normal value (A),
2017Sep,1.6,Normal value (A),
2017Aug,1.5,Normal value (A),
2017Jul,1.3,Normal value (A),
2017Jun,1.3,Normal value (A),
2017May,1.4,Normal value (A),
2017Apr,1.9,Normal value (A),
2017Mar,1.5,Normal value (A),
2017Feb,2.0,Normal value (A),
2017Jan,1.7,Normal value (A),
2016Dec,1.1,Normal value (A),
