Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=B716B4FEA186AB7066585DA619F8ADC6?SERIES_KEY=132.STS.M.NO.S.BPER.CC1109.4.000
,STS.M.NO.S.BPER.CC1109.4.000
,"Norway - Building Permits / dwellings, All Residential Buildings excluding residences for communities; Eurostat; Seasonally adjusted, not working day adjusted "
Collection:,Average of observations through period (A)
Period\Unit:,[2015=100]
,,obs. status
2022Jan,107.00,Normal value (A)
2021Dec,112.30,Normal value (A)
2021Nov,80.20,Normal value (A)
2021Oct,110.80,Normal value (A)
2021Sep,118.60,Normal value (A)
2021Aug,83.70,Normal value (A)
2021Jul,62.40,Normal value (A)
2021Jun,125.40,Normal value (A)
2021May,88.50,Normal value (A)
2021Apr,122.10,Normal value (A)
2021Mar,104.50,Normal value (A)
2021Feb,107.00,Normal value (A)
2021Jan,86.20,Normal value (A)
2020Dec,107.60,Normal value (A)
2020Nov,102.60,Normal value (A)
2020Oct,101.60,Normal value (A)
2020Sep,97.40,Normal value (A)
2020Aug,82.40,Normal value (A)
2020Jul,105.20,Normal value (A)
2020Jun,90.60,Normal value (A)
2020May,112.30,Normal value (A)
2020Apr,91.80,Normal value (A)
2020Mar,101.00,Normal value (A)
2020Feb,92.80,Normal value (A)
2020Jan,92.20,Normal value (A)
2019Dec,70.10,Normal value (A)
2019Nov,96.80,Normal value (A)
2019Oct,86.60,Normal value (A)
2019Sep,99.70,Normal value (A)
2019Aug,115.20,Normal value (A)
2019Jul,109.40,Normal value (A)
2019Jun,101.00,Normal value (A)
2019May,108.10,Normal value (A)
2019Apr,107.80,Normal value (A)
2019Mar,94.10,Normal value (A)
2019Feb,100.70,Normal value (A)
2019Jan,116.70,Normal value (A)
2018Dec,103.10,Normal value (A)
2018Nov,116.80,Normal value (A)
2018Oct,117.60,Normal value (A)
2018Sep,92.10,Normal value (A)
2018Aug,116.40,Normal value (A)
2018Jul,108.40,Normal value (A)
2018Jun,92.20,Normal value (A)
2018May,91.90,Normal value (A)
2018Apr,101.50,Normal value (A)
2018Mar,100.90,Normal value (A)
2018Feb,112.00,Normal value (A)
2018Jan,106.10,Normal value (A)
2017Dec,108.70,Normal value (A)
2017Nov,101.40,Normal value (A)
2017Oct,101.80,Normal value (A)
2017Sep,118.10,Normal value (A)
2017Aug,98.40,Normal value (A)
2017Jul,129.80,Normal value (A)
2017Jun,135.30,Normal value (A)
2017May,106.50,Normal value (A)
2017Apr,127.30,Normal value (A)
2017Mar,136.90,Normal value (A)
2017Feb,124.20,Normal value (A)
2017Jan,125.90,Normal value (A)
2016Dec,129.20,Normal value (A)
2016Nov,120.60,Normal value (A)
2016Oct,111.10,Normal value (A)
2016Sep,120.10,Normal value (A)
2016Aug,123.50,Normal value (A)
