DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2010,9.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2011,10.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2012,9.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2013,9.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2014,10.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2015,10.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2016,11.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2017,12.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2018,11.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2019,12.3,e
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2020,11.1,e
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,AT,2021,11.4,e
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2010,2.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2011,2.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2012,1.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2013,1.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2014,0.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2015,0.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2016,1.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2017,1.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2018,1.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2019,2.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2020,2.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,CY,2021,2.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2010,52.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2011,59.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2012,59.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2013,60.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2014,59.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2015,62.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2016,70.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2017,68.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2018,70.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2019,71.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2020,73.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,DE,2021,75.0,
