DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2010,17123.6,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2011,17476.8,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2012,18028.3,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2013,18545.6,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2014,18958.7,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2015,19174.2,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2016,19954.5,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2017,21148.3,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2018,22326.8,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2019,23258.9,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2020,24178.0,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2021,26329.8,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,AT,2022,31372.1,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2010,21350.2,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2011,24981.3,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2012,25877.3,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2013,26065.9,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2014,27090.6,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2015,31546.6,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2016,30962.5,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2017,30413.0,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2018,29739.2,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2019,31130.4,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2020,32676.4,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2021,33199.8,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CH,2022,36700.8,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2010,1422.6,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2011,1233.0,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2012,1030.1,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2013,781.9,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2014,653.4,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2015,634.8,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2016,759.2,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2017,922.2,
ESTAT:NAMA_10_A10(1.0),15/05/23 23:00:00,A,CP_MEUR,F,B1G,CY,2018,1091.6,
