Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=D9595123530029F94347A9293FBD7620?SERIES_KEY=132.STS.M.FR.S.BPER.CC1109.4.000
,STS.M.FR.S.BPER.CC1109.4.000
,"France - Building Permits / dwellings, All Residential Buildings excluding residences for communities; Eurostat; Seasonally adjusted, not working day adjusted "
Collection:,Average of observations through period (A)
Period\Unit:,[2015=100]
,,obs. status
2022Jan,118.60,Normal value (A)
2021Dec,108.00,Normal value (A)
2021Nov,109.20,Normal value (A)
2021Oct,112.70,Normal value (A)
2021Sep,115.90,Normal value (A)
2021Aug,113.00,Normal value (A)
2021Jul,118.10,Normal value (A)
2021Jun,114.00,Normal value (A)
2021May,118.30,Normal value (A)
2021Apr,113.80,Normal value (A)
2021Mar,115.00,Normal value (A)
2021Feb,113.90,Normal value (A)
2021Jan,110.20,Normal value (A)
2020Dec,107.90,Normal value (A)
2020Nov,113.70,Normal value (A)
2020Oct,101.70,Normal value (A)
2020Sep,96.20,Normal value (A)
2020Aug,100.70,Normal value (A)
2020Jul,79.40,Normal value (A)
2020Jun,89.60,Normal value (A)
2020May,61.60,Normal value (A)
2020Apr,50.40,Normal value (A)
2020Mar,102.80,Normal value (A)
2020Feb,117.10,Normal value (A)
2020Jan,119.90,Normal value (A)
2019Dec,120.20,Normal value (A)
2019Nov,116.20,Normal value (A)
2019Oct,116.10,Normal value (A)
2019Sep,98.80,Normal value (A)
2019Aug,106.60,Normal value (A)
2019Jul,115.00,Normal value (A)
2019Jun,110.10,Normal value (A)
2019May,109.90,Normal value (A)
2019Apr,113.40,Normal value (A)
2019Mar,111.10,Normal value (A)
2019Feb,104.10,Normal value (A)
2019Jan,112.40,Normal value (A)
2018Dec,106.70,Normal value (A)
2018Nov,107.70,Normal value (A)
2018Oct,118.30,Normal value (A)
2018Sep,114.30,Normal value (A)
2018Aug,111.80,Normal value (A)
2018Jul,107.10,Normal value (A)
2018Jun,111.10,Normal value (A)
2018May,121.70,Normal value (A)
2018Apr,117.10,Normal value (A)
