DATAFLOW,LAST UPDATE,freq,unit,asset10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,1995,25965.5,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,1996,26269.2,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,1997,25887.2,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,1998,26332.7,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,1999,26697.9,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2000,27890.9,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2001,27153.1,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2002,26124.8,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2003,27862.3,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2004,28937.2,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2005,29429.0,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2006,29989.7,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2007,31804.2,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2008,33494.7,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2009,31652.4,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2010,31004.5,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2011,32943.1,
ESTAT:NAMA_10_AN6(1.0),01/06/23 23:00:00,A,CP_MEUR,N11KG,AT,2012,34621.4,
