DATAFLOW,LAST UPDATE,freq,unit,asset10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,1996,6.9,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,1997,6.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,1998,7.1,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,1999,7.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2000,10.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2001,12.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2002,12.6,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2003,13.6,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2004,15.5,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2005,17.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2006,23.6,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2007,20.0,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2008,17.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2009,15.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2010,13.5,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2011,14.8,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2012,13.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2013,11.7,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2014,10.2,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2015,10.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2016,9.2,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2017,9.7,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2018,10.8,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2019,10.8,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2020,10.7,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2021,11.3,p
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AL,2022,11.5,e
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,1995,6.5,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,1996,6.5,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,1997,6.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,1998,6.0,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,1999,5.7,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2000,5.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2001,4.9,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2002,4.6,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2003,4.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2004,4.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2005,4.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2006,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2007,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2008,4.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2009,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2010,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2011,4.4,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2012,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2013,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2014,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2015,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2016,4.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2017,4.5,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2018,4.5,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2019,4.7,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2020,5.0,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2021,5.3,
ESTAT:NAMA_10_AN6(1.0),30/05/23 23:00:00,A,PC_GDP,N111G,AT,2022,5.2,
