DATAFLOW,LAST UPDATE,freq,unit,asset10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2015,36418.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2016,37227.7,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2017,39064.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2018,42484.1,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2019,45310.9,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2020,44886.7,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2021,50627.9,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,AT,2022,56034.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CH,2015,61834.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CH,2016,60133.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CH,2017,59484.7,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CH,2018,57567.1,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CH,2019,59603.8,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CH,2020,61347.9,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CH,2021,60591.7,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2015,1179.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2016,1527.7,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2017,1774.9,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2018,2265.9,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2019,2684.3,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2020,2705.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2021,2984.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,CY,2022,3269.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2015,291243.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2016,307923.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2017,321721.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2018,345489.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2019,363473.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2020,384789.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2021,416700.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DE,2022,474596.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2015,24637.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2016,26823.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2017,28582.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2018,30304.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2019,31873.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2020,33930.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2021,38238.1,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,DK,2022,43697.4,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2015,2735.5,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2016,2834.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2017,3461.7,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2018,3846.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2019,3968.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2020,3935.3,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2021,4011.4,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EE,2022,4725.4,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2015,7891.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2016,8874.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2017,8521.5,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2018,7612.9,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2019,6473.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2020,6760.3,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2021,7970.1,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,EL,2022,10735.5,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2015,93582.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2016,95816.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2017,104467.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2018,116989.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2019,129270.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2020,117904.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2021,120405.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,ES,2022,137219.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2015,25734.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2016,28811.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2017,30883.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2018,33668.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2019,34584.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2020,34840.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2021,35238.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FI,2022,39431.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2015,253089.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2016,256339.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2017,273903.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2018,286042.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2019,304669.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2020,272999.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2021,322033.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,FR,2022,347431.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N11KG,HR,2015,4636.9,
