DATAFLOW,LAST UPDATE,freq,unit,asset10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2015,14658.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2016,15249.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2017,16556.5,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2018,17376.3,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2019,18672.7,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2020,18940.5,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2021,21372.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,AT,2022,23269.4,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CH,2015,32215.5,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CH,2016,31895.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CH,2017,31440.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CH,2018,29876.1,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CH,2019,30135.6,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CH,2020,30885.6,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CH,2021,31140.7,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2015,643.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2016,832.4,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2017,1016.8,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2018,1400.7,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2019,1758.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2020,1771.2,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2021,1814.6,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,CY,2022,2055.0,p
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,DE,2015,175365.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,DE,2016,188306.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,DE,2017,195788.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,DE,2018,210361.0,
ESTAT:NAMA_10_AN6(1.0),15/05/23 23:00:00,A,CP_MEUR,N111G,DE,2019,222382.0,p
