"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2018",85.3885575191205,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2019",92.8907977246111,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2020",91.1636767708308,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2021",84.2267431844435,
"PRT","GFCFSECTOR","CORP","PC_GFCF","A","2018",67.8962243505796,
"PRT","GFCFSECTOR","CORP","PC_GFCF","A","2019",68.3940940906152,
"PRT","GFCFSECTOR","CORP","PC_GFCF","A","2020",66.4115307578055,
"PRT","GFCFSECTOR","CORP","PC_GFCF","A","2021",66.2302045523851,"E"
"PRT","GFCFSECTOR","CORP","PC_GFCF","A","2022",67.3713614667341,"E"
"POL","GFCFSECTOR","CORP","PC_GFCF","A","2018",56.1325478718998,
"POL","GFCFSECTOR","CORP","PC_GFCF","A","2019",58.2334679244934,
"POL","GFCFSECTOR","CORP","PC_GFCF","A","2020",57.5892919713144,
"POL","GFCFSECTOR","CORP","PC_GFCF","A","2021",53.355231236039,
"FRA","GFCFSECTOR","CORP","PC_GFCF","A","2018",59.2041373472107,
"FRA","GFCFSECTOR","CORP","PC_GFCF","A","2019",58.6875953401492,
"FRA","GFCFSECTOR","CORP","PC_GFCF","A","2020",58.9160410226213,"E"
"FRA","GFCFSECTOR","CORP","PC_GFCF","A","2021",58.7485647543255,"E"
"NLD","GFCFSECTOR","CORP","PC_GFCF","A","2018",53.5532882543819,
"NLD","GFCFSECTOR","CORP","PC_GFCF","A","2019",53.6063145224758,
"NLD","GFCFSECTOR","CORP","PC_GFCF","A","2020",51.5176046768476,"E"
"NLD","GFCFSECTOR","CORP","PC_GFCF","A","2021",50.8788655186796,"E"
"HUN","GFCFSECTOR","CORP","PC_GFCF","A","2018",59.6850771626656,
"HUN","GFCFSECTOR","CORP","PC_GFCF","A","2019",60.7514719783652,
"HUN","GFCFSECTOR","CORP","PC_GFCF","A","2020",56.0067868607833,
"HUN","GFCFSECTOR","CORP","PC_GFCF","A","2021",59.2806089670123,"E"
"ITA","GFCFSECTOR","CORP","PC_GFCF","A","2018",58.9030474979984,
