"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2018",15.7709216429238,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2019",16.1259538332583,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2020",18.268017130864,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2021",18.0881717966568,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2018",12.7277897886835,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2019",12.5414359057283,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2020",13.2603613132865,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2021",13.1683194096248,
"EST","GFCFSECTOR","GG","PC_GFCF","A","2018",19.5294820887238,
"EST","GFCFSECTOR","GG","PC_GFCF","A","2019",19.5266104457515,
"EST","GFCFSECTOR","GG","PC_GFCF","A","2020",18.2824579022351,
"EST","GFCFSECTOR","GG","PC_GFCF","A","2021",19.3131486745554,
"GRC","GFCFSECTOR","GG","PC_GFCF","A","2018",29.1107829478078,
"GRC","GFCFSECTOR","GG","PC_GFCF","A","2019",23.3476382797391,"E"
"GRC","GFCFSECTOR","GG","PC_GFCF","A","2020",26.2453236310124,"E"
"GRC","GFCFSECTOR","GG","PC_GFCF","A","2021",27.21192229288,"E"
"ITA","GFCFSECTOR","GG","PC_GFCF","A","2018",11.9465439134975,
"ITA","GFCFSECTOR","GG","PC_GFCF","A","2019",12.8309293775994,
"ITA","GFCFSECTOR","GG","PC_GFCF","A","2020",14.430588854208,
"ITA","GFCFSECTOR","GG","PC_GFCF","A","2021",14.2666085664877,
"ITA","GFCFSECTOR","GG","PC_GFCF","A","2022",12.3802478936259,
"SVN","GFCFSECTOR","GG","PC_GFCF","A","2018",18.9310531057165,
"SVN","GFCFSECTOR","GG","PC_GFCF","A","2019",19.5918522091331,
"SVN","GFCFSECTOR","GG","PC_GFCF","A","2020",21.7642516107575,
"SVN","GFCFSECTOR","GG","PC_GFCF","A","2021",23.0294371919303,
