DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2000,14308.8,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2001,14000.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2002,14131.4,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2003,15085.1,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2004,15602.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2005,15833.7,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2006,16134.8,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2007,17435.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2008,18169.8,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2009,17457.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2010,17123.6,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2011,17476.8,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2012,18028.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2013,18545.6,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2014,18958.7,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2015,19174.2,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2016,19954.5,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2017,21148.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2018,22326.8,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2019,23258.9,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2020,24178.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2021,26329.8,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,AT,2022,30353.1,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2000,811.2,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2001,872.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2002,968.1,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2003,1081.6,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2004,1206.4,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2005,1360.1,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2006,1572.4,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2007,1818.9,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2008,2014.7,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2009,1584.1,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2010,1422.6,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2011,1233.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2012,1030.1,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2013,781.9,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2014,653.4,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2015,634.8,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2016,759.2,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2017,922.2,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2018,1091.6,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2019,1299.7,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2020,1192.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2021,1309.2,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,CY,2022,1418.5,p
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2000,98046.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2001,93163.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2002,89431.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2003,85419.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2004,83134.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2005,80470.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2006,83210.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2007,87680.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2008,91548.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2009,91320.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2010,99926.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2011,105972.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2012,110392.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2013,112226.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2014,119583.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2015,124907.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2016,132548.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2017,137994.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2018,148044.0,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2019,154323.0,p
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2020,167329.0,p
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2021,179802.0,p
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DE,2022,211296.0,p
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2000,8377.7,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2001,8116.7,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2002,8405.4,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2003,8936.2,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2004,9373.5,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2005,9762.1,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2006,11099.6,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2007,11359.6,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2008,12521.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2009,10233.3,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2010,9264.2,
ESTAT:NAMA_10_A10(1.0),02/06/23 23:00:00,A,CP_MEUR,F,B1G,DK,2011,9902.8,
