DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2008,97.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2009,100.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2010,99.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2011,101.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2012,103.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2013,103.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2014,101.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2016,100.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2017,103.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2018,107.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2019,113.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2020,115.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2021,119.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,AT,2022,122.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2008,93.1,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2009,93.1,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2010,94.9,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2011,95.6,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2012,97.4,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2013,98.8,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2014,99.7,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2015,100.0,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2016,99.8,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2017,100.4,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2018,101.6,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2019,103.2,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2020,103.2,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2021,103.6,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CH,2022,105.8,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2008,189.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2009,183.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2010,175.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2011,164.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2012,140.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2013,111.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2014,100.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2016,108.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2017,124.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2018,141.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2019,155.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2020,161.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2021,164.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,CY,2022,168.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2008,90.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2009,91.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2010,93.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2011,96.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2012,97.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2013,98.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2014,100.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2016,101.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2017,103.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2018,105.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2019,107.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2020,109.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2021,110.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DE,2022,111.5,p
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2008,131.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2009,116.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2010,105.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2011,106.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2012,106.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2013,94.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2014,96.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2016,103.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2017,107.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2018,112.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2019,114.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2020,117.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2021,122.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,DK,2022,126.8,p
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2008,125.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2009,105.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2010,85.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2011,86.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2012,96.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2013,96.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2014,93.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2016,98.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2017,105.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2018,110.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2019,114.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2020,108.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2021,114.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EE,2022,121.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2008,163.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2009,161.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2010,145.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2011,120.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2012,112.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2013,113.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2014,132.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2016,118.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2017,124.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2018,131.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2019,105.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2020,95.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2021,79.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,EL,2022,77.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2008,229.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2009,176.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2010,153.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2011,130.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2012,108.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2013,95.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2014,92.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2016,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2017,105.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2018,113.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2019,119.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2020,115.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2021,120.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,ES,2022,123.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2008,108.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2009,102.7,b
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2010,101.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2011,103.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2012,103.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2013,103.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2014,100.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2016,105.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2017,110.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2018,116.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2019,112.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2020,112.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2021,109.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FI,2022,106.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2008,114.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2009,111.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2010,109.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2011,109.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2012,108.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2013,106.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2014,103.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2016,98.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2017,99.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2018,101.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2019,105.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2020,108.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2021,113.4,p
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,FR,2022,115.1,p
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2008,150.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2009,146.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2010,126.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2011,117.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2012,108.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2013,102.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2014,100.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2016,98.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2017,102.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2018,107.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2019,115.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2020,123.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2021,128.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HR,2022,129.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2008,113.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2009,104.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2010,104.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2011,102.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2012,100.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2013,96.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2014,98.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2016,103.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2017,107.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2018,117.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2019,139.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2020,137.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2021,145.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,HU,2022,152.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,IE,2008,182.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,IE,2009,124.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,IE,2010,89.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,IE,2011,82.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,IE,2012,76.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,IE,2013,76.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,EMPL,F,NSA,I15,IE,2014,85.2,
