DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2008,101.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2009,100.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2010,99.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2011,101.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2012,102.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2013,102.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2014,101.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2016,100.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2017,102.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2018,107.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2019,112.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2020,110.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2021,118.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,AT,2022,121.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,CH,2010,95.8,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,CH,2011,96.2,e
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,CH,2012,97.2,e
