DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2008,85.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2009,88.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2010,88.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2011,91.8,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2012,95.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2013,97.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2014,98.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2016,102.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2017,105.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2018,113.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2019,123.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2020,128.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2021,136.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,AT,2022,145.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2008,195.5,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2009,196.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2010,191.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2011,183.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2012,154.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2013,116.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2014,102.3,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2016,108.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2017,127.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2018,148.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2019,170.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2020,163.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2021,185.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,CY,2022,195.6,p
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,WAGE,F,NSA,I15,DE,2008,73.9,
