DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE 1,OBS_FLAG
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2010,89.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2011,89.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2012,95.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2013,94.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2014,102.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2016,97.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2017,100.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2018,107.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2019,112.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2020,111.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2021,125.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,AT,2022,132.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2010,100.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2011,107.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2012,100.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2013,101.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2014,101.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2016,104.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2017,105.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2018,105.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2019,103.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2020,106.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2021,100.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CH,2022,90,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2010,245.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2011,233.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2012,173.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2013,165.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2014,136.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2016,108.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2017,127.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2018,127.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2019,110.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2020,105.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2021,110.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,CY,2022,112.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2010,86.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2011,96.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2012,94.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2013,95.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2014,101,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2015,99.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2016,102.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2017,107.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2018,112.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2019,119.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2020,126.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2021,127.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DE,2022,131.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2010,76.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2011,83.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2012,88.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2013,90.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2014,96.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2015,100.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2016,102.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2017,106.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2018,110.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2019,113.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2020,99.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2021,106.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,DK,2022,119.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,EE,2010,85.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,EE,2011,104.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,EE,2012,117.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,EE,2013,119,
