DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2011,40266.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2012,42190.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2013,42335.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2014,43373.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2015,44959.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2016,46387.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2017,48497.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2018,52893.8,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2019,55632.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,AT,2020,56673.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2011,54999.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2012,57842.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2013,59342.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2014,60629.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2015,68078.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2016,66213.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2017,66096.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2018,67459.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,CH,2019,72852.0,
