DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2011,31573,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2012,32174,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2013,33518,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2014,34227,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2015,34564,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2016,35078,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2017,36157,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2018,35872,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2019,36707,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,AT,2020,37261,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2011,19905,d
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2012,20078,d
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2013,21065,d
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2014,21661,d
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2015,21576,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2016,21364,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2017,21425,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2018,21342,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2019,21788,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CH,2020,22165,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2011,9266,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2012,8640,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2013,7603,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2014,7197,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2015,7399,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2016,7330,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2017,7886,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2018,8461,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2019,9001,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,CY,2020,9310,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2011,243115,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2012,274002,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2013,267849,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2014,338535,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2015,332411,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2016,358919,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2017,338475,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2018,357187,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2019,376853,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DE,2020,393852,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DK,2011,31575,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,DK,2012,31300,
