DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,AT,2020,13629.4,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,BE,2020,21030.3,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,BG,2020,4634.2,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,CY,2020,1446.0,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,CZ,2020,14851.6,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,DE,2020,88941.2,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,DK,2020,11582.2,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,EE,2020,1832.7,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,EL,2020,1956.5,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,ES,2020,38725.3,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,FI,2020,11639.7,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,HR,2020,1958.4,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,HU,2020,4481.3,
ESTAT:SBS_IS_SC_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V23110,TOTAL,IE,2020,9996.2,
