DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,AT,2020,53749.5,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,BE,2020,67758.1,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,BG,2020,11253.2,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,CY,2020,4015.0,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,CZ,2020,33018.0,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,DE,2020,352049.4,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,DK,2020,40043.5,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,EE,2020,5617.8,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,EL,2020,5047.5,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,ES,2020,135670.5,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,FI,2020,38930.0,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,FR,2020,284876.4,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,HR,2020,6165.1,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,HU,2020,21131.7,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,IE,2020,24084.7,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,IT,2020,83417.0,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,LT,2020,6793.0,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,NL,2020,111211.8,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,NO,2020,55818.1,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,PL,2020,86530.7,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,PT,2020,23449.1,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,RO,2020,25678.3,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,SE,2020,77823.8,
ESTAT:SBS_TURN_CON_R2$DEFAULTVIEW(1.0),27/10/22 23:00:00,A,F,V18122,SK,2020,10108.5,
