Year,Value,Country
1995,25965.5,Austria
1996,26269.2,Austria
1997,25887.2,Austria
1998,26332.7,Austria
1999,26697.9,Austria
2000,27890.9,Austria
2001,27153.1,Austria
2002,26124.8,Austria
2003,27862.3,Austria
2004,28937.2,Austria
2005,29429.0,Austria
2006,29989.7,Austria
2007,31804.2,Austria
2008,33494.7,Austria
2009,31652.4,Austria
2010,31004.5,Austria
2011,32943.1,Austria
2012,34621.4,Austria
2013,34949.6,Austria
2014,35780.5,Austria
2015,36418.8,Austria
2016,37227.7,Austria
2017,39064.2,Austria
2018,42484.1,Austria
2019,45310.9,Austria
2020,44886.7,Austria
2021,50627.9,Austria
2022,56394.2,Austria
1995,30638.5,Switzerland
1996,27507.6,Switzerland
1997,25056.7,Switzerland
1998,25561.6,Switzerland
1999,25535.9,Switzerland
2000,28134.5,Switzerland
2001,28983.1,Switzerland
2002,30139.5,Switzerland
2003,29165.2,Switzerland
2004,30302.2,Switzerland
2005,31979.9,Switzerland
2006,31991.4,Switzerland
2007,31135.8,Switzerland
2008,33447.2,Switzerland
2009,35859.0,Switzerland
2010,40761.7,Switzerland
2011,47850.8,Switzerland
2012,50562.8,Switzerland
2013,51346.5,Switzerland
2014,53729.6,Switzerland
2015,61834.8,Switzerland
2016,60133.6,Switzerland
2017,59484.7,Switzerland
2018,57567.1,Switzerland
2019,59603.8,Switzerland
2020,61347.9,Switzerland
2021,60591.7,Switzerland
1995,1054.3,Cyprus
1996,1108.7,Cyprus
1997,1125.7,Cyprus
1998,1171.3,Cyprus
1999,1211.9,Cyprus
2000,1253.3,Cyprus
2001,1337.9,Cyprus
2002,1467.6,Cyprus
2003,1702.2,Cyprus
2004,1958.5,Cyprus
2005,2315.9,Cyprus
2006,2814.8,Cyprus
2007,3298.9,Cyprus
2008,3578.6,Cyprus
2009,2934.6,Cyprus
2010,2801.9,Cyprus
2011,2388.8,Cyprus
2012,1899.5,Cyprus
2013,1445.2,Cyprus
2014,1304.4,Cyprus
2015,1179.2,Cyprus
2016,1527.7,Cyprus
2017,1774.9,Cyprus
2018,2265.9,Cyprus
2019,2684.3,Cyprus
2020,2705.8,Cyprus
2021,2984.8,Cyprus
2022,3269.0,Cyprus
1995,273187.9,Germany
1996,259289.7,Germany
1997,248323.9,Germany
1998,245098.5,Germany
1999,248190.0,Germany
2000,241817.0,Germany
2001,231539.0,Germany
2002,216992.0,Germany
2003,211687.0,Germany
2004,206270.0,Germany
2005,200611.0,Germany
2006,214740.0,Germany
2007,226579.0,Germany
2008,232876.0,Germany
2009,227487.0,Germany
2010,237854.0,Germany
2011,265259.0,Germany
2012,274178.0,Germany
2013,278150.0,Germany
2014,290199.0,Germany
2015,291243.0,Germany
2016,307923.0,Germany
2017,321721.0,Germany
2018,345489.0,Germany
2019,363473.0,Germany
2020,384789.0,Germany
2021,416700.0,Germany
2022,474747.0,Germany
1995,12107.4,Denmark
1996,13831.0,Denmark
1997,14839.6,Denmark
1998,15548.6,Denmark
1999,15874.0,Denmark
2000,17740.4,Denmark
2001,17957.9,Denmark
2002,17943.5,Denmark
2003,19083.2,Denmark
2004,20317.9,Denmark
2005,22465.3,Denmark
2006,26805.5,Denmark
2007,27445.7,Denmark
2008,26560.6,Denmark
2009,20394.7,Denmark
2010,19038.3,Denmark
2011,21297.0,Denmark
2012,21573.9,Denmark
2013,21311.7,Denmark
2014,22256.9,Denmark
2015,24637.6,Denmark
2016,26823.6,Denmark
2017,28582.2,Denmark
2018,30304.6,Denmark
2019,31873.6,Denmark
2020,33930.8,Denmark
2021,38238.1,Denmark
2022,43697.4,Denmark
1995,398.0,Estonia
1996,563.3,Estonia
1997,689.3,Estonia
1998,772.2,Estonia
1999,721.5,Estonia
2000,796.2,Estonia
2001,934.9,Estonia
2002,1180.6,Estonia
2003,1314.2,Estonia
2004,1590.0,Estonia
2005,2136.5,Estonia
2006,2867.2,Estonia
2007,3494.6,Estonia
2008,3075.8,Estonia
2009,1905.2,Estonia
2010,1706.9,Estonia
2011,2429.1,Estonia
2012,2771.5,Estonia
2013,2858.2,Estonia
2014,2696.2,Estonia
2015,2735.5,Estonia
2016,2834.2,Estonia
2017,3461.7,Estonia
2018,3846.2,Estonia
2019,3968.2,Estonia
2020,3935.3,Estonia
2021,4011.4,Estonia
2022,4725.4,Estonia
1995,14273.1,Greece
1996,15802.6,Greece
1997,16264.1,Greece
1998,18805.5,Greece
1999,20602.2,Greece
2000,21171.8,Greece
2001,22115.6,Greece
2002,21808.7,Greece
2003,26476.0,Greece
2004,29595.6,Greece
2005,25215.4,Greece
2006,30954.1,Greece
2007,34091.3,Greece
2008,30623.5,Greece
2009,27031.8,Greece
2010,21669.9,Greece
2011,16936.2,Greece
2012,13232.8,Greece
2013,11579.5,Greece
2014,8656.5,Greece
2015,7891.8,Greece
2016,8874.2,Greece
2017,8521.5,Greece
2018,7612.9,Greece
2019,6473.6,Greece
2020,6760.3,Greece
2021,7970.1,Greece
