Year,Percent GDP,Country
1996,6.9,Albania
1997,6.4,Albania
1998,7.1,Albania
1999,7.3,Albania
2000,10.3,Albania
2001,12.4,Albania
2002,12.6,Albania
2003,13.6,Albania
2004,15.5,Albania
2005,17.4,Albania
2006,23.6,Albania
2007,20.0,Albania
2008,17.4,Albania
2009,15.3,Albania
2010,13.5,Albania
2011,14.8,Albania
2012,13.4,Albania
2013,11.7,Albania
2014,10.2,Albania
2015,10.4,Albania
2016,9.2,Albania
2017,9.7,Albania
2018,10.8,Albania
2019,10.8,Albania
2020,10.7,Albania
2021,11.3,Albania
2022,11.5,Albania
1995,6.5,Austria
1996,6.5,Austria
1997,6.3,Austria
1998,6.0,Austria
1999,5.7,Austria
2000,5.3,Austria
2001,4.9,Austria
2002,4.6,Austria
2003,4.4,Austria
2004,4.4,Austria
2005,4.4,Austria
2006,4.3,Austria
2007,4.3,Austria
2008,4.4,Austria
2009,4.3,Austria
2010,4.3,Austria
2011,4.4,Austria
2012,4.3,Austria
2013,4.3,Austria
2014,4.3,Austria
2015,4.3,Austria
2016,4.3,Austria
2017,4.5,Austria
2018,4.5,Austria
2019,4.7,Austria
2020,5.0,Austria
2021,5.3,Austria
2022,5.2,Austria
2000,5.8,Bosnia and Herzegovina
2001,4.9,Bosnia and Herzegovina
2002,4.5,Bosnia and Herzegovina
2003,4.4,Bosnia and Herzegovina
2004,3.9,Bosnia and Herzegovina
2005,4.4,Bosnia and Herzegovina
2006,4.4,Bosnia and Herzegovina
2007,4.3,Bosnia and Herzegovina
2008,4.9,Bosnia and Herzegovina
2009,4.9,Bosnia and Herzegovina
2010,4.9,Bosnia and Herzegovina
2011,3.8,Bosnia and Herzegovina
2012,3.7,Bosnia and Herzegovina
2013,3.3,Bosnia and Herzegovina
2014,3.6,Bosnia and Herzegovina
2015,3.1,Bosnia and Herzegovina
2016,3.3,Bosnia and Herzegovina
2017,3.3,Bosnia and Herzegovina
2018,3.3,Bosnia and Herzegovina
2019,3.3,Bosnia and Herzegovina
2020,2.7,Bosnia and Herzegovina
2021,2.6,Bosnia and Herzegovina
2022,2.6,Bosnia and Herzegovina
1995,5.9,Belgium
1996,5.4,Belgium
1997,5.6,Belgium
1998,5.2,Belgium
1999,5.3,Belgium
2000,5.1,Belgium
2001,5.0,Belgium
