Year,OBS_VALUE,Country
2020,53749.5,Austria
2020,67758.1,Belgium
2020,11253.2,Bulgaria
2020,4015.0,Cyprus
2020,33018.0,Czechia
2020,352049.4,Germany
2020,40043.5,Denmark
2020,5617.8,Estonia
2020,5047.5,Greece
2020,135670.5,Spain
2020,38930.0,Finland
2020,284876.4,France
2020,6165.1,Croatia
2020,21131.7,Hungary
2020,24084.7,Ireland
2020,83417.0,Italy
2020,6793.0,Lithuania
2020,111211.8,Netherlands
2020,55818.1,Norway
2020,86530.7,Poland
2020,23449.1,Portugal
2020,25678.3,Romania
2020,77823.8,Sweden
2020,10108.5,Slovakia
