Year,GVA,Country,Wages
2000,14308.8,Austria,6878.6
2001,14000.3,Austria,6749.1
2002,14131.4,Austria,6588.6
2003,15085.1,Austria,6598.2
2004,15602.3,Austria,6695.5
2005,15833.7,Austria,6761.8
2006,16134.8,Austria,7090.1
2007,17435.3,Austria,7567.4
2008,18169.8,Austria,7986.4
2009,17457.0,Austria,8004.3
2010,17123.6,Austria,8065.9
2011,17476.8,Austria,8298.2
2012,18028.3,Austria,8640.7
2013,18545.6,Austria,8807.8
2014,18958.7,Austria,9160.4
2015,19174.2,Austria,9393.6
2016,19954.5,Austria,9746.3
2017,21148.3,Austria,10217.3
2018,22326.8,Austria,10935.3
2019,23258.9,Austria,11625.0
2020,24178.0,Austria,11972.9
2021,26329.8,Austria,12817.0
2022,30353.1,Austria,13416.3
2000,811.2,Cyprus,292.1
2001,872.0,Cyprus,323.3
2002,968.1,Cyprus,362.8
2003,1081.6,Cyprus,382.5
2004,1206.4,Cyprus,407.3
2005,1360.1,Cyprus,475.1
2006,1572.4,Cyprus,524.8
2007,1818.9,Cyprus,601.0
2008,2014.7,Cyprus,728.4
2009,1584.1,Cyprus,702.2
2010,1422.6,Cyprus,656.9
2011,1233.0,Cyprus,614.3
2012,1030.1,Cyprus,505.2
2013,781.9,Cyprus,366.7
2014,653.4,Cyprus,311.1
2015,634.8,Cyprus,309.6
2016,759.2,Cyprus,340.0
2017,922.2,Cyprus,408.9
2018,1091.6,Cyprus,486.2
2019,1299.7,Cyprus,570.2
2020,1192.3,Cyprus,580.2
2021,1309.2,Cyprus,599.6
2022,1418.5,Cyprus,614.5
2000,98046.0,Germany,62700.0
2001,93163.0,Germany,58766.0
2002,89431.0,Germany,55733.0
2003,85419.0,Germany,53283.0
2004,83134.0,Germany,51244.0
2005,80470.0,Germany,48305.0
2006,83210.0,Germany,48161.0
2007,87680.0,Germany,50072.0
2008,91548.0,Germany,50558.0
2009,91320.0,Germany,52637.0
2010,99926.0,Germany,53717.0
2011,105972.0,Germany,56242.0
2012,110392.0,Germany,58346.0
2013,112226.0,Germany,58536.0
2014,119583.0,Germany,60638.0
2015,124907.0,Germany,62529.0
2016,132548.0,Germany,64749.0
2017,137994.0,Germany,67469.0
2018,148044.0,Germany,71235.0
2019,154323.0,Germany,74920.0
2020,167329.0,Germany,77896.0
2021,179802.0,Germany,81466.0
2022,211296.0,Germany,85898.0
2000,8377.7,Denmark,5621.7
2001,8116.7,Denmark,5780.7
2002,8405.4,Denmark,5777.6
2003,8936.2,Denmark,5872.0
2004,9373.5,Denmark,6006.5
2005,9762.1,Denmark,6634.2
2006,11099.6,Denmark,7338.7
2007,11359.6,Denmark,7921.0
2008,12521.3,Denmark,8187.1
2009,10233.3,Denmark,7367.6
2010,9264.2,Denmark,6882.5
2011,9902.8,Denmark,7092.2
2012,10012.5,Denmark,7184.3
2013,10145.2,Denmark,7154.9
2014,10532.7,Denmark,7539.3
2015,11749.9,Denmark,7950.1
2016,13380.4,Denmark,8469.5
2017,14328.8,Denmark,8993.7
2018,14828.7,Denmark,9476.1
2019,14716.5,Denmark,9823.2
2020,14860.2,Denmark,10219.0
2021,16275.1,Denmark,11060.4
2022,19183.4,Denmark,11965.4
2000,327.1,Estonia,118.8
2001,367.9,Estonia,140.0
2002,435.8,Estonia,158.2
