unit,Year,OBS_VALUE,Country
I15,2008,97.3,Austria
I15,2009,100.1,Austria
I15,2010,99.1,Austria
I15,2011,101.3,Austria
I15,2012,103.1,Austria
I15,2013,103.0,Austria
I15,2014,101.4,Austria
I15,2015,100.0,Austria
I15,2016,100.3,Austria
I15,2017,103.1,Austria
I15,2018,107.7,Austria
I15,2019,113.2,Austria
I15,2020,115.1,Austria
I15,2021,119.5,Austria
I15,2022,122.2,Austria
I15,2008,93.1,Switzerland
I15,2009,93.1,Switzerland
I15,2010,94.9,Switzerland
I15,2011,95.6,Switzerland
I15,2012,97.4,Switzerland
I15,2013,98.8,Switzerland
I15,2014,99.7,Switzerland
I15,2015,100.0,Switzerland
I15,2016,99.8,Switzerland
I15,2017,100.4,Switzerland
I15,2018,101.6,Switzerland
I15,2019,103.2,Switzerland
I15,2020,103.2,Switzerland
I15,2021,103.6,Switzerland
I15,2022,105.8,Switzerland
I15,2008,189.9,Cyprus
I15,2009,183.1,Cyprus
I15,2010,175.2,Cyprus
I15,2011,164.3,Cyprus
I15,2012,140.4,Cyprus
I15,2013,111.7,Cyprus
I15,2014,100.5,Cyprus
I15,2015,100.0,Cyprus
I15,2016,108.0,Cyprus
I15,2017,124.2,Cyprus
I15,2018,141.5,Cyprus
I15,2019,155.1,Cyprus
I15,2020,161.0,Cyprus
I15,2021,164.4,Cyprus
I15,2022,168.6,Cyprus
I15,2008,90.4,Germany
I15,2009,91.6,Germany
I15,2010,93.4,Germany
I15,2011,96.7,Germany
I15,2012,97.7,Germany
I15,2013,98.8,Germany
I15,2014,100.2,Germany
I15,2015,100.0,Germany
I15,2016,101.4,Germany
I15,2017,103.7,Germany
I15,2018,105.8,Germany
I15,2019,107.7,Germany
I15,2020,109.1,Germany
I15,2021,110.7,Germany
I15,2022,111.5,Germany
I15,2008,131.5,Denmark
I15,2009,116.2,Denmark
I15,2010,105.5,Denmark
I15,2011,106.1,Denmark
I15,2012,106.0,Denmark
I15,2013,94.3,Denmark
I15,2014,96.8,Denmark
I15,2015,100.0,Denmark
I15,2016,103.9,Denmark
I15,2017,107.8,Denmark
I15,2018,112.1,Denmark
I15,2019,114.2,Denmark
I15,2020,117.7,Denmark
I15,2021,122.9,Denmark
I15,2022,126.8,Denmark
I15,2008,125.0,Estonia
I15,2009,105.0,Estonia
I15,2010,85.8,Estonia
I15,2011,86.0,Estonia
I15,2012,96.3,Estonia
I15,2013,96.7,Estonia
I15,2014,93.8,Estonia
I15,2015,100.0,Estonia
I15,2016,98.8,Estonia
I15,2017,105.1,Estonia
I15,2018,110.4,Estonia
I15,2019,114.3,Estonia
I15,2020,108.5,Estonia
I15,2021,114.9,Estonia
I15,2022,121.1,Estonia
I15,2008,163.1,Greece
I15,2009,161.0,Greece
I15,2010,145.3,Greece
I15,2011,120.3,Greece
I15,2012,112.7,Greece
I15,2013,113.0,Greece
I15,2014,132.6,Greece
I15,2015,100.0,Greece
I15,2016,118.6,Greece
I15,2017,124.3,Greece
I15,2018,131.2,Greece
I15,2019,105.4,Greece
I15,2020,95.1,Greece
I15,2021,79.7,Greece
I15,2022,77.0,Greece
I15,2008,229.1,Spain
I15,2009,176.0,Spain
I15,2010,153.8,Spain
I15,2011,130.8,Spain
I15,2012,108.2,Spain
I15,2013,95.9,Spain
I15,2014,92.5,Spain
I15,2015,100.0,Spain
I15,2016,100.0,Spain
I15,2017,105.1,Spain
I15,2018,113.8,Spain
I15,2019,119.0,Spain
I15,2020,115.9,Spain
I15,2021,120.3,Spain
I15,2022,123.1,Spain
I15,2008,108.9,Finland
I15,2009,102.7,Finland
I15,2010,101.1,Finland
I15,2011,103.8,Finland
I15,2012,103.1,Finland
I15,2013,103.5,Finland
I15,2014,100.1,Finland
I15,2015,100.0,Finland
I15,2016,105.0,Finland
I15,2017,110.3,Finland
I15,2018,116.3,Finland
I15,2019,112.8,Finland
I15,2020,112.8,Finland
I15,2021,109.3,Finland
I15,2022,106.2,Finland
I15,2008,114.1,France
I15,2009,111.8,France
I15,2010,109.8,France
I15,2011,109.0,France
I15,2012,108.2,France
I15,2013,106.1,France
I15,2014,103.6,France
I15,2015,100.0,France
I15,2016,98.9,France
I15,2017,99.7,France
I15,2018,101.9,France
I15,2019,105.6,France
I15,2020,108.9,France
I15,2021,113.4,France
I15,2022,115.1,France
I15,2008,150.9,Croatia
I15,2009,146.3,Croatia
I15,2010,126.9,Croatia
I15,2011,117.4,Croatia
I15,2012,108.4,Croatia
I15,2013,102.9,Croatia
I15,2014,100.4,Croatia
I15,2015,100.0,Croatia
I15,2016,98.8,Croatia
I15,2017,102.3,Croatia
I15,2018,107.6,Croatia
I15,2019,115.3,Croatia
I15,2020,123.1,Croatia
I15,2021,128.9,Croatia
I15,2022,129.3,Croatia
I15,2008,113.7,Hungary
I15,2009,104.5,Hungary
I15,2010,104.8,Hungary
I15,2011,102.9,Hungary
I15,2012,100.2,Hungary
I15,2013,96.9,Hungary
I15,2014,98.8,Hungary
I15,2015,100.0,Hungary
I15,2016,103.5,Hungary
I15,2017,107.3,Hungary
I15,2018,117.1,Hungary
I15,2019,139.2,Hungary
I15,2020,137.0,Hungary
I15,2021,145.0,Hungary
I15,2022,152.0,Hungary
I15,2008,182.5,Ireland
I15,2009,124.8,Ireland
I15,2010,89.1,Ireland
I15,2011,82.1,Ireland
I15,2012,76.0,Ireland
I15,2013,76.3,Ireland
I15,2014,85.2,Ireland
I15,2015,100.0,Ireland
I15,2016,114.2,Ireland
I15,2017,123.6,Ireland
I15,2018,138.6,Ireland
I15,2019,146.0,Ireland
I15,2020,139.1,Ireland
I15,2021,143.4,Ireland
I15,2022,169.7,Ireland
I15,2008,173.3,Iceland
I15,2009,104.0,Iceland
I15,2010,87.0,Iceland
I15,2011,80.0,Iceland
I15,2012,78.7,Iceland
I15,2013,84.3,Iceland
I15,2014,91.1,Iceland
I15,2015,100.0,Iceland
I15,2016,117.0,Iceland
I15,2017,136.8,Iceland
I15,2018,150.5,Iceland
I15,2019,153.9,Iceland
I15,2020,142.6,Iceland
I15,2021,150.1,Iceland
I15,2022,168.7,Iceland
I15,2008,138.9,Italy
I15,2009,134.2,Italy
I15,2010,130.0,Italy
I15,2011,126.0,Italy
I15,2012,119.4,Italy
I15,2013,109.4,Italy
I15,2014,103.3,Italy
I15,2015,100.0,Italy
I15,2016,99.7,Italy
I15,2017,98.2,Italy
I15,2018,98.3,Italy
I15,2019,99.3,Italy
I15,2020,101.6,Italy
I15,2021,108.0,Italy
I15,2022,116.3,Italy
I15,2008,133.1,Lithuania
I15,2009,104.7,Lithuania
I15,2010,86.1,Lithuania
I15,2011,89.4,Lithuania
I15,2012,89.4,Lithuania
I15,2013,90.5,Lithuania
I15,2014,95.4,Lithuania
I15,2015,100.0,Lithuania
I15,2016,95.3,Lithuania
I15,2017,96.9,Lithuania
I15,2018,101.1,Lithuania
I15,2019,103.0,Lithuania
I15,2020,101.8,Lithuania
I15,2021,103.8,Lithuania
I15,2022,101.1,Lithuania
I15,2008,108.7,Luxembourg
I15,2009,107.0,Luxembourg
I15,2010,106.4,Luxembourg
I15,2011,105.0,Luxembourg
I15,2012,103.1,Luxembourg
I15,2013,100.1,Luxembourg
I15,2014,100.4,Luxembourg
I15,2015,100.0,Luxembourg
I15,2016,101.6,Luxembourg
I15,2017,104.8,Luxembourg
I15,2018,107.1,Luxembourg
I15,2019,109.7,Luxembourg
I15,2020,106.1,Luxembourg
I15,2021,106.4,Luxembourg
I15,2022,106.5,Luxembourg
I15,2008,149.7,Latvia
I15,2009,94.9,Latvia
I15,2010,77.0,Latvia
I15,2011,83.9,Latvia
I15,2012,92.6,Latvia
I15,2013,102.1,Latvia
I15,2014,102.2,Latvia
I15,2015,100.0,Latvia
I15,2016,92.9,Latvia
I15,2017,96.9,Latvia
I15,2018,104.1,Latvia
I15,2019,108.0,Latvia
I15,2020,104.6,Latvia
I15,2021,104.8,Latvia
I15,2022,100.2,Latvia
I15,2008,123.9,Malta
I15,2009,115.2,Malta
I15,2010,106.6,Malta
I15,2011,101.4,Malta
I15,2012,97.7,Malta
I15,2013,90.2,Malta
I15,2014,90.8,Malta
I15,2015,100.0,Malta
I15,2016,101.4,Malta
I15,2017,86.0,Malta
I15,2018,85.1,Malta
I15,2019,90.3,Malta
I15,2020,95.0,Malta
I15,2021,95.2,Malta
I15,2022,96.1,Malta
I15,2008,133.4,Netherlands
I15,2009,130.1,Netherlands
I15,2010,125.6,Netherlands
I15,2011,123.2,Netherlands
I15,2012,118.5,Netherlands
I15,2013,108.1,Netherlands
I15,2014,101.9,Netherlands
I15,2015,100.0,Netherlands
I15,2016,99.7,Netherlands
I15,2017,102.7,Netherlands
I15,2018,106.3,Netherlands
I15,2019,109.9,Netherlands
I15,2020,112.1,Netherlands
I15,2021,114.7,Netherlands
I15,2022,,Netherlands
I15,2008,89.8,Norway
I15,2009,86.0,Norway
I15,2010,84.7,Norway
I15,2011,87.9,Norway
I15,2012,92.8,Norway
I15,2013,95.6,Norway
I15,2014,97.7,Norway
I15,2015,100.0,Norway
I15,2016,102.7,Norway
I15,2017,107.0,Norway
I15,2018,110.8,Norway
I15,2019,114.2,Norway
I15,2020,113.9,Norway
I15,2021,114.7,Norway
I15,2022,119.9,Norway
I15,2008,106.9,Poland
I15,2009,111.0,Poland
I15,2010,112.4,Poland
I15,2011,120.9,Poland
I15,2012,123.2,Poland
I15,2013,114.5,Poland
I15,2014,106.0,Poland
I15,2015,100.0,Poland
I15,2016,99.1,Poland
I15,2017,101.3,Poland
I15,2018,105.7,Poland
I15,2019,111.0,Poland
I15,2020,111.4,Poland
I15,2021,110.8,Poland
I15,2022,111.7,Poland
I15,2008,217.1,Portugal
I15,2009,195.5,Portugal
I15,2010,176.7,Portugal
I15,2011,157.8,Portugal
I15,2012,135.5,Portugal
I15,2013,114.2,Portugal
I15,2014,104.3,Portugal
I15,2015,100.0,Portugal
I15,2016,96.0,Portugal
I15,2017,97.7,Portugal
I15,2018,99.9,Portugal
I15,2019,102.1,Portugal
I15,2020,101.8,Portugal
I15,2021,103.6,Portugal
I15,2022,105.7,Portugal
I15,2008,129.0,Romania
I15,2009,109.1,Romania
I15,2010,92.9,Romania
I15,2011,92.3,Romania
I15,2012,99.3,Romania
I15,2013,96.8,Romania
I15,2014,94.6,Romania
I15,2015,100.0,Romania
I15,2016,105.0,Romania
I15,2017,104.1,Romania
I15,2018,110.6,Romania
I15,2019,116.3,Romania
I15,2020,120.2,Romania
I15,2021,126.4,Romania
I15,2022,129.5,Romania
I15,2008,84.4,Sweden
I15,2009,85.2,Sweden
I15,2010,84.7,Sweden
I15,2011,91.2,Sweden
I15,2012,96.1,Sweden
I15,2013,95.6,Sweden
I15,2014,96.5,Sweden
I15,2015,100.0,Sweden
I15,2016,105.4,Sweden
I15,2017,109.2,Sweden
I15,2018,114.9,Sweden
I15,2019,117.7,Sweden
I15,2020,119.0,Sweden
I15,2021,121.3,Sweden
I15,2022,125.2,Sweden
I15,2008,161.9,Slovenia
I15,2009,159.8,Slovenia
I15,2010,144.6,Slovenia
I15,2011,124.9,Slovenia
I15,2012,110.1,Slovenia
I15,2013,99.9,Slovenia
I15,2014,99.4,Slovenia
I15,2015,100.0,Slovenia
I15,2016,99.2,Slovenia
I15,2017,102.6,Slovenia
I15,2018,107.5,Slovenia
I15,2019,117.6,Slovenia
I15,2020,120.5,Slovenia
I15,2021,125.8,Slovenia
I15,2022,135.6,Slovenia
I15,2008,116.3,Slovakia
I15,2009,118.6,Slovakia
I15,2010,115.5,Slovakia
I15,2011,111.3,Slovakia
I15,2012,106.3,Slovakia
I15,2013,102.0,Slovakia
I15,2014,100.8,Slovakia
I15,2015,100.0,Slovakia
I15,2016,101.2,Slovakia
I15,2017,103.7,Slovakia
I15,2018,107.2,Slovakia
I15,2019,114.1,Slovakia
I15,2020,107.3,Slovakia
I15,2021,103.2,Slovakia
I15,2022,105.1,Slovakia
I15,2008,110.4,United Kingdom
I15,2009,107.0,United Kingdom
I15,2010,96.5,United Kingdom
I15,2011,94.3,United Kingdom
I15,2012,92.9,United Kingdom
I15,2013,93.0,United Kingdom
I15,2014,96.4,United Kingdom
I15,2015,100.0,United Kingdom
I15,2016,102.7,United Kingdom
I15,2017,108.4,United Kingdom
I15,2018,108.7,United Kingdom
I15,2019,111.8,United Kingdom
