unit,Year,OBS_VALUE,Country
I15,2008,101.2,Austria
I15,2009,100.4,Austria
I15,2010,99.5,Austria
I15,2011,101.8,Austria
I15,2012,102.7,Austria
I15,2013,102.6,Austria
I15,2014,101.3,Austria
I15,2015,100.0,Austria
I15,2016,100.2,Austria
I15,2017,102.7,Austria
I15,2018,107.1,Austria
I15,2019,112.5,Austria
I15,2020,110.4,Austria
I15,2021,118.9,Austria
I15,2022,121.0,Austria
I15,2010,95.8,Switzerland
I15,2011,96.2,Switzerland
I15,2012,97.2,Switzerland
I15,2013,98.3,Switzerland
I15,2014,99.1,Switzerland
I15,2015,100.0,Switzerland
I15,2016,98.5,Switzerland
I15,2017,98.9,Switzerland
I15,2018,100.6,Switzerland
I15,2019,101.5,Switzerland
I15,2020,101.0,Switzerland
I15,2021,104.4,Switzerland
I15,2022,104.3,Switzerland
I15,2008,216.1,Cyprus
I15,2009,201.6,Cyprus
I15,2010,195.2,Cyprus
I15,2011,184.1,Cyprus
I15,2012,152.6,Cyprus
I15,2013,105.5,Cyprus
I15,2014,99.0,Cyprus
I15,2015,100.0,Cyprus
I15,2016,112.9,Cyprus
I15,2017,133.7,Cyprus
I15,2018,155.2,Cyprus
I15,2019,174.4,Cyprus
I15,2020,169.1,Cyprus
I15,2021,184.9,Cyprus
I15,2022,187.8,Cyprus
I15,2008,90.8,Germany
I15,2009,90.2,Germany
I15,2010,91.6,Germany
I15,2011,98.5,Germany
I15,2012,97.4,Germany
I15,2013,97.8,Germany
I15,2014,100.7,Germany
I15,2015,100.0,Germany
I15,2016,101.7,Germany
I15,2017,103.1,Germany
I15,2018,104.4,Germany
I15,2019,106.1,Germany
I15,2020,107.7,Germany
I15,2021,107.9,Germany
I15,2022,107.8,Germany
I15,2008,128.2,Denmark
I15,2009,112.1,Denmark
I15,2010,104.0,Denmark
I15,2011,106.2,Denmark
I15,2012,106.1,Denmark
I15,2013,93.7,Denmark
I15,2014,96.6,Denmark
I15,2015,100.0,Denmark
I15,2016,103.9,Denmark
I15,2017,107.2,Denmark
I15,2018,109.6,Denmark
I15,2019,110.5,Denmark
I15,2020,114.6,Denmark
I15,2021,121.4,Denmark
I15,2022,125.9,Denmark
I15,2008,119.5,Estonia
I15,2009,100.2,Estonia
I15,2010,81.9,Estonia
I15,2011,84.0,Estonia
I15,2012,95.6,Estonia
I15,2013,94.4,Estonia
I15,2014,92.4,Estonia
I15,2015,100.0,Estonia
I15,2016,96.6,Estonia
I15,2017,102.2,Estonia
I15,2018,110.8,Estonia
I15,2019,113.7,Estonia
I15,2020,106.0,Estonia
I15,2021,112.6,Estonia
I15,2022,117.2,Estonia
I15,2008,159.0,Greece
I15,2009,152.5,Greece
I15,2010,138.4,Greece
I15,2011,114.2,Greece
I15,2012,104.9,Greece
I15,2013,102.3,Greece
I15,2014,103.3,Greece
I15,2015,100.0,Greece
I15,2016,119.4,Greece
I15,2017,143.5,Greece
I15,2018,154.9,Greece
I15,2019,139.7,Greece
I15,2020,137.2,Greece
I15,2021,124.5,Greece
I15,2022,119.5,Greece
I15,2008,184.7,Spain
I15,2009,130.8,Spain
I15,2010,95.4,Spain
I15,2011,87.9,Spain
I15,2012,81.7,Spain
I15,2013,85.9,Spain
I15,2014,91.7,Spain
I15,2015,100.0,Spain
I15,2016,104.7,Spain
I15,2017,109.0,Spain
I15,2018,112.3,Spain
I15,2019,112.4,Spain
I15,2020,102.2,Spain
I15,2021,103.3,Spain
I15,2022,107.0,Spain
I15,2008,154.3,Finland
I15,2009,100.8,Finland
I15,2010,103.8,Finland
I15,2011,107.2,Finland
I15,2012,105.8,Finland
I15,2013,105.6,Finland
I15,2014,101.7,Finland
I15,2015,100.0,Finland
I15,2016,106.4,Finland
I15,2017,116.0,Finland
I15,2018,123.0,Finland
I15,2019,116.6,Finland
I15,2020,117.4,Finland
I15,2021,107.3,Finland
I15,2022,104.1,Finland
I15,2008,113.9,France
I15,2009,112.0,France
I15,2010,109.8,France
I15,2011,108.9,France
I15,2012,108.3,France
I15,2013,106.1,France
I15,2014,103.8,France
I15,2015,100.0,France
I15,2016,98.6,France
I15,2017,99.1,France
I15,2018,101.3,France
I15,2019,105.4,France
I15,2020,98.9,France
I15,2021,112.3,France
I15,2022,114.9,France
I15,2008,94.2,Croatia
I15,2009,87.8,Croatia
I15,2010,79.4,Croatia
I15,2011,76.1,Croatia
I15,2012,63.8,Croatia
I15,2013,59.8,Croatia
I15,2014,54.0,Croatia
I15,2015,100.0,Croatia
I15,2016,99.1,Croatia
I15,2017,96.3,Croatia
I15,2018,100.9,Croatia
I15,2019,121.6,Croatia
I15,2020,131.8,Croatia
I15,2021,142.0,Croatia
I15,2022,144.6,Croatia
I15,2008,119.0,Hungary
I15,2009,108.1,Hungary
I15,2010,107.6,Hungary
I15,2011,104.4,Hungary
I15,2012,101.1,Hungary
I15,2013,96.4,Hungary
I15,2014,98.6,Hungary
I15,2015,100.0,Hungary
I15,2016,102.4,Hungary
I15,2017,104.6,Hungary
I15,2018,113.6,Hungary
I15,2019,136.9,Hungary
I15,2020,133.4,Hungary
I15,2021,143.1,Hungary
I15,2022,150.3,Hungary
I15,2008,182.6,Ireland
I15,2009,123.0,Ireland
I15,2010,82.5,Ireland
I15,2011,80.8,Ireland
I15,2012,72.9,Ireland
I15,2013,73.9,Ireland
I15,2014,89.3,Ireland
I15,2015,100.0,Ireland
I15,2016,115.5,Ireland
I15,2017,124.6,Ireland
I15,2018,141.9,Ireland
I15,2019,145.8,Ireland
I15,2020,137.2,Ireland
I15,2021,145.1,Ireland
I15,2022,174.5,Ireland
I15,2008,159.8,Italy
I15,2009,146.8,Italy
I15,2010,135.2,Italy
I15,2011,129.4,Italy
I15,2012,115.3,Italy
I15,2013,102.7,Italy
I15,2014,95.0,Italy
I15,2015,100.0,Italy
I15,2016,101.1,Italy
I15,2017,101.7,Italy
I15,2018,103.2,Italy
I15,2019,107.4,Italy
I15,2020,101.0,Italy
I15,2021,121.6,Italy
I15,2022,132.0,Italy
I15,2008,134.7,Lithuania
I15,2009,92.3,Lithuania
I15,2010,82.3,Lithuania
I15,2011,87.7,Lithuania
I15,2012,91.1,Lithuania
I15,2013,92.2,Lithuania
I15,2014,96.6,Lithuania
I15,2015,100.0,Lithuania
I15,2016,95.5,Lithuania
I15,2017,96.0,Lithuania
I15,2018,101.3,Lithuania
I15,2019,105.3,Lithuania
I15,2020,98.2,Lithuania
I15,2021,97.3,Lithuania
I15,2022,98.1,Lithuania
I15,2008,106.1,Luxembourg
I15,2009,105.5,Luxembourg
I15,2010,105.9,Luxembourg
I15,2011,106.1,Luxembourg
I15,2012,100.9,Luxembourg
I15,2013,96.9,Luxembourg
I15,2014,100.4,Luxembourg
I15,2015,100.0,Luxembourg
I15,2016,103.3,Luxembourg
I15,2017,104.6,Luxembourg
I15,2018,108.8,Luxembourg
I15,2019,110.6,Luxembourg
I15,2020,99.6,Luxembourg
I15,2021,105.2,Luxembourg
I15,2022,105.9,Luxembourg
I15,2008,168.4,Latvia
I15,2009,90.9,Latvia
I15,2010,75.0,Latvia
I15,2011,84.3,Latvia
I15,2012,92.9,Latvia
I15,2013,102.7,Latvia
I15,2014,104.0,Latvia
I15,2015,100.0,Latvia
I15,2016,88.6,Latvia
I15,2017,94.1,Latvia
I15,2018,97.7,Latvia
I15,2019,100.8,Latvia
I15,2020,94.8,Latvia
I15,2021,102.4,Latvia
I15,2022,103.3,Latvia
I15,2008,120.1,Malta
I15,2009,110.8,Malta
I15,2010,102.1,Malta
I15,2011,101.1,Malta
I15,2012,98.2,Malta
I15,2013,88.8,Malta
I15,2014,85.5,Malta
I15,2015,100.0,Malta
I15,2016,101.6,Malta
I15,2017,83.6,Malta
I15,2018,83.1,Malta
