unit,Year,OBS_VALUE,Country
I15,2008,85.8,Austria
I15,2009,88.2,Austria
I15,2010,88.4,Austria
I15,2011,91.8,Austria
I15,2012,95.7,Austria
I15,2013,97.6,Austria
I15,2014,98.9,Austria
I15,2015,100.0,Austria
I15,2016,102.0,Austria
I15,2017,105.7,Austria
I15,2018,113.5,Austria
I15,2019,123.0,Austria
I15,2020,128.0,Austria
I15,2021,136.5,Austria
I15,2022,145.5,Austria
I15,2008,195.5,Cyprus
I15,2009,196.0,Cyprus
I15,2010,191.2,Cyprus
I15,2011,183.4,Cyprus
I15,2012,154.9,Cyprus
I15,2013,116.0,Cyprus
I15,2014,102.3,Cyprus
I15,2015,100.0,Cyprus
I15,2016,108.0,Cyprus
I15,2017,127.6,Cyprus
I15,2018,148.6,Cyprus
I15,2019,170.4,Cyprus
I15,2020,163.9,Cyprus
I15,2021,185.1,Cyprus
I15,2022,195.6,Cyprus
I15,2008,73.9,Germany
I15,2009,74.9,Germany
I15,2010,76.8,Germany
I15,2011,81.8,Germany
I15,2012,84.3,Germany
I15,2013,86.8,Germany
I15,2014,90.6,Germany
I15,2015,100.0,Germany
I15,2016,103.7,Germany
I15,2017,108.4,Germany
I15,2018,115.1,Germany
I15,2019,121.1,Germany
I15,2020,124.8,Germany
I15,2021,129.1,Germany
I15,2022,135.6,Germany
I15,2008,117.8,Denmark
I15,2009,103.6,Denmark
I15,2010,96.9,Denmark
I15,2011,100.5,Denmark
I15,2012,102.3,Denmark
I15,2013,89.8,Denmark
I15,2014,93.7,Denmark
I15,2015,100.0,Denmark
I15,2016,107.9,Denmark
I15,2017,114.8,Denmark
I15,2018,122.1,Denmark
I15,2019,127.0,Denmark
I15,2020,135.8,Denmark
I15,2021,146.0,Denmark
I15,2022,156.6,Denmark
I15,2008,108.2,Estonia
I15,2009,79.0,Estonia
I15,2010,61.9,Estonia
I15,2011,68.4,Estonia
I15,2012,86.2,Estonia
I15,2013,93.0,Estonia
I15,2014,95.4,Estonia
I15,2015,100.0,Estonia
I15,2016,97.5,Estonia
I15,2017,111.7,Estonia
I15,2018,129.2,Estonia
I15,2019,143.8,Estonia
I15,2020,133.5,Estonia
I15,2021,155.4,Estonia
I15,2022,179.8,Estonia
I15,2008,195.8,Greece
I15,2009,196.8,Greece
I15,2010,180.4,Greece
I15,2011,147.0,Greece
I15,2012,118.8,Greece
I15,2013,105.3,Greece
I15,2014,114.5,Greece
I15,2015,100.0,Greece
I15,2016,114.6,Greece
I15,2017,126.3,Greece
I15,2018,125.5,Greece
I15,2019,105.7,Greece
I15,2020,109.6,Greece
I15,2021,101.5,Greece
I15,2022,107.4,Greece
I15,2008,174.0,Spain
I15,2009,134.3,Spain
I15,2010,96.7,Spain
I15,2011,91.1,Spain
I15,2012,84.3,Spain
I15,2013,84.8,Spain
I15,2014,91.0,Spain
I15,2015,100.0,Spain
I15,2016,104.3,Spain
I15,2017,108.7,Spain
I15,2018,116.1,Spain
I15,2019,117.8,Spain
I15,2020,111.6,Spain
I15,2021,109.3,Spain
I15,2022,117.2,Spain
I15,2008,86.0,Finland
I15,2009,82.2,Finland
I15,2010,83.4,Finland
I15,2011,89.6,Finland
I15,2012,94.5,Finland
I15,2013,96.4,Finland
