unit,Year,OBS_VALUE 1,Country,Production Value
I15,2010,89.6,Austria,97.7
I15,2011,89.3,Austria,99.6
I15,2012,95.1,Austria,103.1
I15,2013,94.9,Austria,103.5
I15,2014,102.4,Austria,101.7
I15,2015,100.0,Austria,100.0
I15,2016,97.4,Austria,102.4
I15,2017,100.3,Austria,109.2
I15,2018,107.3,Austria,116.7
I15,2019,112.7,Austria,123.3
I15,2020,111.8,Austria,117.9
I15,2021,125.4,Austria,126.9
I15,2022,132.5,Austria,131.2
I15,2010,100.1,Switzerland,97.3
I15,2011,107.2,Switzerland,100.2
I15,2012,100.1,Switzerland,99.7
I15,2013,101.7,Switzerland,101.1
I15,2014,101.6,Switzerland,103.6
I15,2015,100.0,Switzerland,100.0
I15,2016,104.6,Switzerland,99.3
I15,2017,105.8,Switzerland,101.8
I15,2018,105.2,Switzerland,102.0
I15,2019,103.5,Switzerland,100.9
I15,2020,106.5,Switzerland,100.3
I15,2021,100.2,Switzerland,101.6
I15,2022,90.0,Switzerland,97.2
I15,2010,245.8,Cyprus,213.5
I15,2011,233.8,Cyprus,199.0
I15,2012,173.5,Cyprus,157.0
I15,2013,165.6,Cyprus,127.4
I15,2014,136.2,Cyprus,99.8
I15,2015,100.0,Cyprus,100.0
I15,2016,108.1,Cyprus,120.7
I15,2017,127.4,Cyprus,154.1
I15,2018,127.5,Cyprus,180.7
I15,2019,110.9,Cyprus,202.2
I15,2020,105.1,Cyprus,188.7
I15,2021,110.7,Cyprus,197.6
I15,2022,112.6,Cyprus,186.9
I15,2010,86.4,Germany,92.4
I15,2011,96.5,Germany,99.1
I15,2012,94.2,Germany,99.1
I15,2013,95.4,Germany,99.0
I15,2014,101.0,Germany,101.9
I15,2015,99.7,Germany,99.6
I15,2016,102.6,Germany,105.3
I15,2017,107.8,Germany,108.7
I15,2018,112.7,Germany,109.0
I15,2019,119.6,Germany,112.7
I15,2020,126.5,Germany,116.1
I15,2021,127.7,Germany,114.3
I15,2022,131.7,Germany,112.6
I15,2010,76.7,Denmark,88.8
I15,2011,83.9,Denmark,91.6
I15,2012,88.8,Denmark,92.2
I15,2013,90.9,Denmark,91.8
I15,2014,96.2,Denmark,95.8
I15,2015,100.1,Denmark,100.1
I15,2016,102.1,Denmark,104.4
I15,2017,106.8,Denmark,109.1
I15,2018,110.6,Denmark,112.7
I15,2019,113.6,Denmark,114.8
I15,2020,99.3,Denmark,117.9
I15,2021,106.1,Denmark,126.4
I15,2022,119.1,Denmark,133.4
I15,2010,85.7,Estonia,71.3
I15,2011,104.8,Estonia,90.8
I15,2012,117.4,Estonia,106.0
I15,2013,119.0,Estonia,105.8
I15,2014,106.6,Estonia,103.6
I15,2015,100.0,Estonia,100.0
I15,2016,97.8,Estonia,104.6
I15,2017,124.1,Estonia,127.1
I15,2018,135.9,Estonia,142.7
I15,2019,127.3,Estonia,151.0
I15,2020,121.6,Estonia,141.8
I15,2010,192.1,Greece,234.4
I15,2011,115.7,Greece,137.5
I15,2012,78.3,Greece,91.5
I15,2013,79.9,Greece,84.0
I15,2014,103.6,Greece,97.0
I15,2015,100.0,Greece,100.0
I15,2016,114.6,Greece,106.0
I15,2017,93.8,Greece,86.7
I15,2018,77.3,Greece,74.6
I15,2019,72.7,Greece,70.1
I15,2020,64.1,Greece,63.4
I15,2021,65.2,Greece,67.7
I15,2022,84.4,Greece,84.2
I15,2010,132.2,Spain,104.2
I15,2011,112.7,Spain,88.0
I15,2012,94.6,Spain,81.6
I15,2013,87.6,Spain,83.1
I15,2014,90.3,Spain,97.9
I15,2015,100.0,Spain,100.1
I15,2016,114.1,Spain,104.9
I15,2017,115.3,Spain,103.9
I15,2018,111.9,Spain,106.0
I15,2019,105.8,Spain,103.9
I15,2020,94.2,Spain,90.5
I15,2021,80.3,Spain,84.9
I15,2022,82.0,Spain,78.5
I15,2010,86.7,Finland,90.7
I15,2011,85.4,Finland,98.1
I15,2012,90.2,Finland,96.9
I15,2013,89.3,Finland,94.1
I15,2014,90.5,Finland,94.5
I15,2015,99.9,Finland,99.9
I15,2016,106.4,Finland,105.4
I15,2017,104.1,Finland,110.9
I15,2018,97.8,Finland,113.4
I15,2019,96.6,Finland,113.2
I15,2020,111.8,Finland,113.5
I15,2021,112.6,Finland,117.5
I15,2022,108.3,Finland,119.4
I15,2010,112.3,France,111.6
I15,2011,111.1,France,109.8
I15,2012,104.2,France,104.1
I15,2013,105.0,France,104.9
I15,2014,102.9,France,102.1
I15,2015,100.0,France,100.0
I15,2016,105.3,France,99.3
I15,2017,105.6,France,102.6
I15,2018,106.2,France,102.0
I15,2019,110.3,France,102.5
I15,2020,96.8,France,89.0
I15,2021,105.8,France,101.3
I15,2022,103.5,France,103.8
I15,2010,132.7,Croatia,148.1
I15,2011,119.6,Croatia,131.1
I15,2012,109.8,Croatia,114.6
I15,2013,114.5,Croatia,108.2
I15,2014,102.2,Croatia,100.8
I15,2015,100.0,Croatia,100.0
I15,2016,97.2,Croatia,103.0
I15,2017,93.4,Croatia,105.1
I15,2018,91.0,Croatia,110.6
I15,2019,98.8,Croatia,119.7
I15,2020,103.4,Croatia,124.0
I15,2021,112.1,Croatia,135.5
I15,2022,114.3,Croatia,142.0
I15,2010,81.2,Hungary,91.7
I15,2011,78.2,Hungary,84.4
I15,2012,74.5,Hungary,78.8
I15,2013,79.8,Hungary,85.5
I15,2014,98.4,Hungary,97.1
I15,2015,100.0,Hungary,100.0
I15,2016,67.0,Hungary,81.1
I15,2017,90.7,Hungary,105.2
I15,2018,117.8,Hungary,127.5
I15,2019,143.7,Hungary,153.9
I15,2020,123.9,Hungary,138.8
I15,2021,132.0,Hungary,155.3
I15,2022,130.5,Hungary,160.4
I15,2010,107.7,Ireland,94.7
I15,2011,83.1,Ireland,78.9
I15,2012,96.8,Ireland,77.0
I15,2013,101.2,Ireland,85.7
I15,2014,104.4,Ireland,92.7
I15,2015,100.0,Ireland,100.0
I15,2016,103.1,Ireland,109.8
I15,2017,106.8,Ireland,124.2
I15,2018,118.8,Ireland,136.9
I15,2019,112.9,Ireland,144.8
I15,2020,96.0,Ireland,131.4
I15,2021,108.9,Ireland,127.4
I15,2022,106.0,Ireland,130.1
I15,2010,,Italy,147.0
I15,2011,,Italy,140.6
I15,2012,,Italy,121.7
I15,2013,,Italy,109.3
I15,2014,,Italy,101.9
I15,2015,,Italy,100.0
I15,2016,,Italy,99.9
I15,2017,,Italy,101.2
I15,2018,,Italy,102.2
I15,2019,,Italy,105.3
I15,2020,,Italy,97.1
I15,2021,,Italy,121.5
I15,2022,,Italy,136.8
I15,2010,85.5,Lithuania,69.9
I15,2011,102.4,Lithuania,85.6
I15,2012,95.0,Lithuania,79.6
I15,2013,102.9,Lithuania,88.7
I15,2014,113.5,Lithuania,103.6
I15,2015,100.0,Lithuania,100.0
I15,2016,82.0,Lithuania,90.6
I15,2017,94.8,Lithuania,99.2
I15,2018,111.5,Lithuania,112.7
I15,2019,119.1,Lithuania,121.8
I15,2020,123.1,Lithuania,119.2
I15,2021,118.9,Lithuania,125.6
I15,2022,123.2,Lithuania,131.2
I15,2010,76.0,Latvia,65.8
I15,2011,88.3,Latvia,73.8
I15,2012,102.3,Latvia,84.8
I15,2013,106.8,Latvia,91.0
I15,2014,99.6,Latvia,100.6
I15,2015,100.0,Latvia,100.0
I15,2016,74.3,Latvia,83.4
I15,2017,96.6,Latvia,99.0
I15,2018,107.8,Latvia,120.6
I15,2019,108.8,Latvia,124.1
I15,2020,107.2,Latvia,127.4
I15,2021,101.8,Latvia,119.6
I15,2022,88.5,Latvia,106.0
I15,2010,,Netherlands,104.2
I15,2011,,Netherlands,104.2
I15,2012,,Netherlands,96.5
I15,2013,,Netherlands,90.9
I15,2014,,Netherlands,93.3
I15,2015,,Netherlands,100.4
I15,2016,,Netherlands,107.8
I15,2017,,Netherlands,116.9
I15,2018,,Netherlands,122.3
I15,2019,,Netherlands,128.6
I15,2020,,Netherlands,127.6
I15,2021,,Netherlands,129.2
I15,2022,,Netherlands,135.6
I15,2010,62.1,Norway,79.5
I15,2011,69.1,Norway,81.8
I15,2012,80.7,Norway,88.3
I15,2013,87.5,Norway,94.8
I15,2014,95.0,Norway,98.9
I15,2015,100.0,Norway,99.9
I15,2016,104.2,Norway,103.2
I15,2017,113.9,Norway,108.5
I15,2018,117.2,Norway,113.5
I15,2019,122.8,Norway,118.7
I15,2020,121.5,Norway,115.9
I15,2021,120.1,Norway,118.6
I15,2022,122.3,Norway,123.6
I15,2010,109.4,Poland,97.3
I15,2011,127.3,Poland,112.9
I15,2012,110.2,Poland,107.3
I15,2013,92.8,Poland,96.4
I15,2014,101.3,Poland,100.2
I15,2015,100.0,Poland,100.0
I15,2016,83.6,Poland,85.9
I15,2017,100.7,Poland,98.1
I15,2018,125.6,Poland,117.3
I15,2019,134.6,Poland,121.6
I15,2020,128.1,Poland,116.4
I15,2021,127.7,Poland,118.1
I15,2022,131.9,Poland,127.8
I15,2010,193.8,Portugal,186.1
I15,2011,168.3,Portugal,162.4
I15,2012,139.5,Portugal,136.3
I15,2013,117.0,Portugal,114.2
I15,2014,103.4,Portugal,103.2
I15,2015,100.0,Portugal,100.0
I15,2016,95.9,Portugal,96.2
I15,2017,97.6,Portugal,97.9
I15,2018,100.7,Portugal,101.3
I15,2019,104.1,Portugal,104.1
I15,2020,100.1,Portugal,100.7
I15,2021,105.7,Portugal,103.7
I15,2022,107.8,Portugal,105.9
I15,2010,98.9,Romania,93.8
I15,2011,102.2,Romania,96.7
I15,2012,105.9,Romania,98.4
I15,2013,107.6,Romania,97.7
I15,2014,84.3,Romania,91.3
I15,2015,101.2,Romania,100.7
I15,2016,90.2,Romania,96.3
I15,2017,71.4,Romania,91.4
I15,2018,77.2,Romania,87.8
I15,2019,89.6,Romania,111.6
I15,2020,106.1,Romania,129.5
I15,2010,121.1,Sweden,87.0
I15,2011,115.6,Sweden,93.7
I15,2012,88.4,Sweden,93.0
I15,2013,94.5,Sweden,90.3
I15,2014,89.9,Sweden,91.8
I15,2015,100.0,Sweden,100.0
I15,2016,105.9,Sweden,103.3
I15,2017,110.6,Sweden,114.3
I15,2018,131.6,Sweden,121.8
I15,2019,149.7,Sweden,122.6
I15,2020,149.2,Sweden,121.5
I15,2021,136.1,Sweden,123.2
I15,2022,145.2,Sweden,123.7
I15,2010,115.4,Slovenia,165.8
I15,2011,97.7,Slovenia,120.6
I15,2012,81.5,Slovenia,100.2
I15,2013,86.7,Slovenia,93.4
I15,2014,109.6,Slovenia,108.2
I15,2015,100.0,Slovenia,100.0
I15,2016,73.3,Slovenia,88.0
I15,2017,83.6,Slovenia,105.8
I15,2018,98.4,Slovenia,127.0
I15,2019,102.7,Slovenia,131.2
I15,2020,105.5,Slovenia,130.3
I15,2021,111.7,Slovenia,129.7
I15,2022,126.7,Slovenia,158.4
I15,2010,88.5,Slovakia,100.0
I15,2011,87.2,Slovakia,106.3
I15,2012,65.0,Slovakia,93.5
I15,2013,67.0,Slovakia,88.5
I15,2014,65.1,Slovakia,84.7
I15,2015,100.0,Slovakia,99.9
I15,2016,74.9,Slovakia,89.0
I15,2017,81.1,Slovakia,92.3
I15,2018,96.2,Slovakia,99.8
I15,2019,83.0,Slovakia,96.3
I15,2020,74.7,Slovakia,85.2
I15,2021,67.6,Slovakia,83.6
I15,2022,67.7,Slovakia,83.3
I15,2010,90.6,United Kingdom,92.1
I15,2011,93.6,United Kingdom,93.0
I15,2012,83.2,United Kingdom,86.3
I15,2013,84.6,United Kingdom,87.7
I15,2014,83.9,United Kingdom,96.3
I15,2015,100.0,United Kingdom,100.0
I15,2016,98.8,United Kingdom,104.1
I15,2017,111.0,United Kingdom,110.4
I15,2018,114.9,United Kingdom,110.4
I15,2019,118.4,United Kingdom,112.4
