Year,OBS_VALUE,Country
2011,40266.5,Austria
2012,42190.4,Austria
2013,42335.2,Austria
2014,43373.8,Austria
2015,44959.3,Austria
2016,46387.9,Austria
2017,48497.6,Austria
2018,52893.8,Austria
2019,55632.2,Austria
2020,56673.8,Austria
2011,54999.5,Switzerland
2012,57842.7,Switzerland
2013,59342.7,Switzerland
2014,60629.2,Switzerland
2015,68078.4,Switzerland
2016,66213.7,Switzerland
2017,66096.4,Switzerland
2018,67459.6,Switzerland
2019,72852.0,Switzerland
2020,74642.1,Switzerland
2011,3255.1,Cyprus
2012,2637.8,Cyprus
2013,1893.5,Cyprus
2014,1716.1,Cyprus
2015,1756.8,Cyprus
2016,2146.9,Cyprus
2017,2838.9,Cyprus
2018,3578.0,Cyprus
2019,4302.2,Cyprus
2020,4294.6,Cyprus
2011,197708.5,Germany
2012,213720.2,Germany
2013,217858.4,Germany
2014,242724.3,Germany
2015,244677.3,Germany
2016,255587.9,Germany
2017,273989.0,Germany
2018,311194.9,Germany
2019,340438.4,Germany
2020,360273.9,Germany
2011,25357.6,Denmark
2012,26457.9,Denmark
2013,25803.8,Denmark
2014,27501.9,Denmark
2015,30066.9,Denmark
2016,32357.1,Denmark
2017,35267.4,Denmark
2018,38172.9,Denmark
2019,40085.9,Denmark
2020,41339.0,Denmark
2011,2241.1,Estonia
2012,2706.6,Estonia
2013,2804.5,Estonia
2014,2766.1,Estonia
2015,2684.4,Estonia
2016,2922.7,Estonia
2017,3413.3,Estonia
2018,3890.8,Estonia
2019,4160.0,Estonia
2020,4070.9,Estonia
2011,11398.4,Greece
2012,10858.4,Greece
2013,10238.0,Greece
2014,9184.4,Greece
2015,9295.0,Greece
2016,9560.3,Greece
2017,9674.5,Greece
2018,9308.6,Greece
2019,9731.5,Greece
2020,9968.5,Greece
2011,156057.9,Spain
2012,119303.4,Spain
2013,99206.3,Spain
2014,103533.1,Spain
2015,111563.7,Spain
2016,115838.9,Spain
2017,124556.3,Spain
2018,150361.1,Spain
2019,160885.8,Spain
2020,140562.8,Spain
2011,27258.2,Finland
2012,29047.0,Finland
2013,28720.7,Finland
2014,29315.1,Finland
2015,30593.2,Finland
2016,33586.8,Finland
2017,37762.5,Finland
2018,38638.7,Finland
2019,40120.4,Finland
2020,40409.6,Finland
2011,272497.3,France
2012,284007.8,France
2013,282296.4,France
2014,290927.1,France
2015,276934.9,France
2016,281543.6,France
2017,293684.7,France
2018,309259.1,France
2019,338109.8,France
2020,318927.4,France
2011,6061.8,Croatia
2012,5384.1,Croatia
2013,5159.6,Croatia
2014,5127.5,Croatia
2015,5614.8,Croatia
2016,5640.7,Croatia
2017,5929.0,Croatia
2018,6519.2,Croatia
2019,7647.8,Croatia
2020,7779.0,Croatia
2011,6981.8,Hungary
2012,6477.1,Hungary
2013,7313.1,Hungary
2014,8356.8,Hungary
2015,8929.7,Hungary
2016,7931.8,Hungary
2017,10536.9,Hungary
2018,14065.0,Hungary
2019,16492.8,Hungary
2020,16286.6,Hungary
2011,13532.3,Ireland
2012,7903.5,Ireland
2013,9757.8,Ireland
2014,14102.7,Ireland
2015,15603.5,Ireland
2016,19964.7,Ireland
2017,25587.9,Ireland
2018,29639.8,Ireland
2019,26661.0,Ireland
2020,27360.6,Ireland
2011,,Iceland
2015,1100.7,Iceland
2016,1634.4,Iceland
2017,2144.5,Iceland
2018,2147.4,Iceland
2019,2104.2,Iceland
2020,1891.8,Iceland
2011,210382.7,Italy
2012,202692.7,Italy
2013,181368.1,Italy
2014,168117.1,Italy
2015,165208.1,Italy
2016,162869.6,Italy
2017,165333.8,Italy
2018,166843.7,Italy
2019,173721.9,Italy
2020,168198.1,Italy
2011,3432.9,Lithuania
2012,3569.1,Lithuania
2013,3998.3,Lithuania
2014,4834.5,Lithuania
2015,4831.5,Lithuania
2016,4563.2,Lithuania
2017,5220.0,Lithuania
2018,6172.0,Lithuania
2019,6868.0,Lithuania
2020,7022.3,Lithuania
2011,4123.0,Luxembourg
2012,4351.7,Luxembourg
2013,4349.0,Luxembourg
2014,4807.9,Luxembourg
2015,5118.4,Luxembourg
2016,5546.7,Luxembourg
2017,5853.1,Luxembourg
2018,6251.4,Luxembourg
2019,6851.6,Luxembourg
2020,6496.1,Luxembourg
2011,3170.1,Latvia
2012,3871.2,Latvia
2013,4259.4,Latvia
2014,4155.1,Latvia
2015,4019.0,Latvia
2016,3046.5,Latvia
2017,3881.5,Latvia
2018,4707.8,Latvia
2019,4893.1,Latvia
2020,4462.6,Latvia
2011,756.5,Malta
2012,801.6,Malta
2013,815.5,Malta
2014,961.4,Malta
2015,1112.9,Malta
2016,1176.8,Malta
2017,1180.4,Malta
2018,1219.6,Malta
2019,1518.8,Malta
2020,1560.5,Malta
2011,88944.4,Netherlands
2012,81883.2,Netherlands
2013,77553.5,Netherlands
2014,77125.0,Netherlands
2015,80310.1,Netherlands
2016,86481.8,Netherlands
2017,96054.3,Netherlands
2018,105000.5,Netherlands
2019,114442.2,Netherlands
2020,85417.0,Netherlands
2011,57350.7,Poland
2012,49362.7,Poland
2013,49061.2,Poland
2014,59974.8,Poland
2015,60105.5,Poland
2016,57494.4,Poland
2017,64090.0,Poland
2018,78186.1,Poland
2019,86700.0,Poland
2020,91007.4,Poland
2011,27610.9,Portugal
2012,20838.9,Portugal
2013,18295.1,Portugal
2014,16899.4,Portugal
2015,17256.2,Portugal
2016,16440.4,Portugal
2017,18262.0,Portugal
2018,20150.7,Portugal
2019,22519.6,Portugal
2020,22831.3,Portugal
2011,19087.3,Romania
2012,18134.0,Romania
2013,17983.3,Romania
2014,16726.5,Romania
2015,18413.3,Romania
2016,17190.2,Romania
2017,17685.3,Romania
2018,20458.2,Romania
2019,25804.4,Romania
2020,28324.4,Romania
2011,56099.4,Sweden
2012,60975.8,Sweden
2013,62105.5,Sweden
2014,62838.8,Sweden
2015,68711.2,Sweden
2016,72326.0,Sweden
2017,79436.8,Sweden
2018,81864.7,Sweden
2019,82181.6,Sweden
2020,84874.0,Sweden
2011,4856.2,Slovenia
2012,4485.8,Slovenia
2013,4194.1,Slovenia
2014,4536.4,Slovenia
2015,4320.7,Slovenia
2016,4062.9,Slovenia
2017,4624.8,Slovenia
2018,5580.2,Slovenia
2019,5990.7,Slovenia
2020,5972.2,Slovenia
2011,8372.1,Slovakia
2012,7226.8,Slovakia
2013,6232.8,Slovakia
2014,7396.1,Slovakia
2015,9577.9,Slovakia
2016,8877.4,Slovakia
2017,9967.4,Slovakia
2018,11078.3,Slovakia
2019,11689.1,Slovakia
2020,10686.6,Slovakia
2011,212958.9,United Kingdom
2012,228994.7,United Kingdom
2013,235051.8,United Kingdom
2014,272192.5,United Kingdom
2015,326428.1,United Kingdom
2016,288859.6,United Kingdom
2017,288380.5,United Kingdom
2018,314062.0,United Kingdom
