size_emp,Year,OBS_VALUE,Country
TOTAL,2020,13629.4,Austria
TOTAL,2020,21030.3,Belgium
TOTAL,2020,4634.2,Bulgaria
TOTAL,2020,1446.0,Cyprus
TOTAL,2020,14851.6,Czechia
TOTAL,2020,88941.2,Germany
TOTAL,2020,11582.2,Denmark
TOTAL,2020,1832.7,Estonia
TOTAL,2020,1956.5,Greece
TOTAL,2020,38725.3,Spain
TOTAL,2020,11639.7,Finland
TOTAL,2020,1958.4,Croatia
TOTAL,2020,4481.3,Hungary
TOTAL,2020,9996.2,Ireland
TOTAL,2020,32084.3,Italy
TOTAL,2020,1519.5,Lithuania
TOTAL,2020,33260.8,Netherlands
TOTAL,2020,15300.6,Norway
TOTAL,2020,12292.1,Poland
TOTAL,2020,4742.4,Portugal
TOTAL,2020,246.2,Romania
TOTAL,2020,425.9,Sweden
TOTAL,2020,3803.7,Slovakia
TOTAL,2020,9770.8,Austria
TOTAL,2020,7876.8,Belgium
TOTAL,2020,1383.4,Bulgaria
TOTAL,2020,652.9,Cyprus
TOTAL,2020,2983.7,Czechia
TOTAL,2020,18093.9,Germany
TOTAL,2020,926.0,Greece
TOTAL,2020,37327.6,Spain
TOTAL,2020,9738.6,Finland
TOTAL,2020,690.0,Croatia
TOTAL,2020,1938.5,Hungary
TOTAL,2020,10338.8,Ireland
TOTAL,2020,30990.2,Italy
TOTAL,2020,1350.2,Lithuania
TOTAL,2020,41312.3,Netherlands
TOTAL,2020,11564.7,Norway
TOTAL,2020,6307.6,Portugal
TOTAL,2020,73.5,Romania
TOTAL,2020,19805.8,Sweden
TOTAL,2020,514.8,Slovakia
